,0,1,2
418,-25,-35,-5
419,68,47,8
420,-39,-40,-8
421,35,28,7
422,-38,-37,-8
423,-2,2,1
424,4,9,3
425,5,13,1
426,41,23,8
427,-28,-28,-8
428,31,33,8
429,-13,-17,-3
430,24,31,7
431,-9,-12,-3
432,16,24,8
433,14,12,4
434,-7,-4,-1
435,16,18,3
436,8,6,1
437,-44,-48,-11
438,5,4,1
439,9,18,3
440,-6,-4,-1
441,9,6,2
442,-10,-8,-2
443,1,2,1
444,-7,-6,-1
445,5,3,1
446,-12,-7,-2
447,6,5,1
448,28,37,0
449,65,76,11
450,22,20,7
451,-43,-37,-3
452,170,165,15
453,127,104,13
454,-148,-159,-15
455,-19,-40,-9
456,81,91,11
457,24,18,-1
458,82,94,11
459,3,-6,-5
460,3,2,3
461,10,16,5
462,-156,-138,-13
463,26,22,1
464,18,-6,5
465,16,8,1
466,-39,-42,-7
467,-208,-210,-15
468,-4,12,3
469,6,-10,-1
470,-92,-96,-9
471,52,49,7
472,-3,-3,-3
473,99,79,13
474,53,58,11
475,27,35,9
476,-109,-125,-15
477,10,21,7
478,105,113,13
479,47,45,9
480,35,41,5
481,20,27,8
482,-31,-48,-8
483,-5,-11,-5
484,-47,-44,-8
485,-20,-14,-8
486,-23,-17,-8
487,-69,-90,-8
488,24,22,8
489,30,27,8
490,21,24,7
491,14,3,1
492,30,29,8
493,-9,-11,-1
494,37,25,7
495,29,38,8
496,-2,7,3
497,-11,-8,-4
498,-9,-15,-4
499,-44,-47,-11
500,-38,-26,-9
501,16,14,7
502,9,4,3
503,-7,-11,4
504,12,-2,4
505,-8,-5,-3
506,-2,-2,-1
507,11,8,2
508,-6,-10,1
509,-13,-15,0
510,3,-1,1
511,13,6,4
512,-13,14,0
513,83,25,0
514,67,62,0
515,-4,-16,0
516,14,23,-1
517,-84,-101,-11
518,-24,-14,-5
519,55,75,11
520,136,157,13
521,-12,-29,-5
522,-14,-11,7
523,38,34,9
524,73,88,9
525,-123,-155,-15
526,-5,2,7
527,-102,-127,-13
528,-12,-12,-3
529,2,-11,-3
530,19,28,7
531,7,26,9
532,44,15,7
533,147,125,15
534,-3,-16,-3
535,10,6,1
536,10,20,1
537,-133,-136,-15
538,-7,-36,-5
539,8,6,1
540,51,56,13
541,-105,-98,-13
542,203,202,15
543,-90,-105,-11
544,-90,-90,-11
545,-32,-65,-9
546,-36,-43,-5
547,-29,-9,-3
548,34,36,7
549,33,48,8
550,-4,-10,-3
551,33,26,5
552,-8,-9,-1
553,-60,-73,-1
554,-25,-24,-5
555,-19,-14,-1
556,12,7,1
557,42,36,7
558,-33,-38,-8
559,33,43,8
560,21,49,8
561,-20,-25,-5
562,20,24,7
563,47,46,8
564,-20,-15,-4
565,-23,-24,-4
566,8,8,1
567,9,4,-1
568,-25,-29,-11
569,-9,-12,-3
570,-24,-50,-9
571,16,14,1
572,-22,-31,-6
573,-10,-8,-2
574,-1,-6,-2
575,53,58,10
576,17,18,3
577,3,-3,-1
578,-25,-30,-5
579,-1,-15,0
580,36,-17,0
581,18,18,0
582,35,20,0
583,-55,-54,-11
584,-47,-37,-5
585,-9,-23,-3
586,53,53,9
587,-8,-9,-1
588,43,-6,1
589,-185,-178,-15
590,-39,-56,-9
591,35,35,11
592,-31,-35,-5
593,24,43,7
594,125,81,13
595,102,114,15
596,-33,-24,-7
597,32,12,7
598,89,60,9
599,2,16,5
600,-4,-21,-1
601,10,12,3
602,-40,-60,-11
603,-18,-47,-11
604,110,112,13
605,78,93,13
606,141,98,15
607,4,-17,-5
608,-180,-110,-13
609,-133,-146,-15
610,38,37,9
611,-7,10,3
612,22,37,7
613,-12,-8,-1
614,14,13,3
615,-68,-55,-8
616,-35,-18,-8
617,-26,-29,-7
618,3,11,1
619,-28,-4,-3
620,26,16,5
621,17,35,7
622,-3,-2,-1
623,11,17,3
624,-171,-91,-8
625,25,33,8
626,20,23,8
627,-23,-24,-8
628,-17,-10,-7
629,11,-6,1
630,34,47,5
631,-2,-16,-4
632,14,7,3
633,28,24,4
634,-7,-18,-3
635,40,41,7
636,-35,-36,-9
637,7,15,3
638,-58,-50,-12
639,1,-14,-3
640,-3,7,1
641,2,3,1
642,12,7,2
643,-4,2,0
644,-16,-10,-3
645,5,4,1
646,41,71,0
647,12,5,0
648,1,6,0
649,3,3,0
650,-24,-32,-5
651,19,32,5
652,-27,-26,-7
653,-5,22,1
654,175,179,15
655,91,100,11
656,-222,-219,-15
657,47,57,11
658,6,18,5
659,102,74,9
660,-54,-46,-11
661,19,6,7
662,59,52,9
663,126,75,9
664,36,23,7
665,17,6,1
666,-21,-18,-3
667,139,118,13
668,-113,-106,-13
669,-124,-89,-11
670,-2,4,3
671,181,172,15
672,-9,-23,-3
673,163,142,15
674,28,31,9
675,-105,-97,-13
676,-11,16,5
677,-20,-8,-7
678,-30,-29,-1
679,-83,-111,-13
680,-14,-13,-3
681,31,8,1
682,-92,-90,-8
683,-28,-19,-7
684,21,2,3
685,11,15,1
686,-16,-3,-3
687,21,16,8
688,-45,-31,-8
689,-26,-29,-8
690,11,21,5
691,89,82,8
692,20,20,8
693,-56,-33,-8
694,-16,-21,-7
695,-20,-11,-1
696,-34,-32,-5
697,30,41,8
698,-12,-12,-1
699,-9,-3,-4
700,-10,-9,-3
701,-22,-14,-4
702,-6,-8,-1
703,121,100,12
704,-38,-27,-11
705,2,8,3
706,9,2,-1
707,-24,-26,-7
708,3,-1,1
709,5,-3,1
710,-30,-31,-8
711,-4,-4,0
712,-7,-9,-3
713,23,9,0
714,28,14,0
715,-64,-9,0
716,-1,4,0
717,-22,-8,-3
718,35,19,5
719,-193,-210,-15
720,11,28,7
721,73,49,9
722,-175,-168,-13
723,88,68,9
724,37,37,7
725,-27,-18,-3
726,-30,-1,1
727,52,77,9
728,-31,-35,-7
729,93,64,11
730,-2,9,3
731,149,126,13
732,118,143,13
733,166,161,15
734,-23,-23,-5
735,-107,-96,-11
736,5,-17,-1
737,-82,-92,-11
738,125,109,13
739,33,20,1
740,-3,2,-1
741,89,79,11
742,-18,-7,-5
743,51,25,7
744,-1,-21,-3
745,-15,23,5
746,71,67,9
747,-203,-179,-15
748,176,227,15
749,24,22,5
750,-36,-32,-8
751,14,30,8
752,-33,-7,-1
753,23,17,5
754,-29,-35,-8
755,41,44,8
756,14,20,5
757,-19,-18,-7
758,-24,-18,-3
759,-13,-23,-3
760,-5,-19,-7
761,-28,-33,-8
762,-72,-45,-3
763,60,34,8
764,-36,-26,-7
765,21,9,3
766,22,2,1
767,-9,-14,-3
768,21,21,4
769,15,20,4
770,-14,-6,-4
771,-12,-35,-9
772,-3,-3,-3
773,51,39,10
774,8,5,1
775,19,14,3
776,-3,-9,-6
777,-26,-25,-6
778,7,15,6
779,13,4,-1
780,94,99,0
781,14,17,0
782,13,20,0
783,-39,-3,0
784,-201,-147,-13
785,-68,-44,-7
786,-2,-11,-5
787,9,-3,-1
788,-112,-73,-9
789,66,79,11
790,-248,-256,-15
791,4,-1,1
792,-72,-49,-9
793,108,88,11
794,-13,13,3
795,-136,-129,-11
796,10,35,5
797,-43,-19,-7
798,-162,-128,-15
799,21,21,5
800,17,4,5
801,-171,-159,-15
802,-157,-106,-13
803,-4,5,-3
804,-106,-119,-13
805,-88,-92,-9
806,45,36,9
807,19,9,3
808,-78,-54,-7
809,119,82,11
810,4,-20,-1
811,-1,1,-1
812,130,116,13
813,38,35,7
814,25,36,3
815,131,141,15
816,-15,-28,-8
817,49,42,7
818,-29,-38,-7
819,14,4,1
820,-9,-18,-3
821,-106,-88,-3
822,-8,1,1
823,56,58,8
824,-34,-25,-7
825,18,28,5
826,-13,2,-1
827,10,22,5
828,-30,-9,-8
829,-8,9,1
830,-13,-10,-5
831,-35,-22,-7
832,22,27,4
833,18,19,4
834,10,8,4
835,6,11,3
836,-5,-18,-4
837,-35,-43,-9
838,18,25,4
839,-3,-7,-4
840,10,8,2
841,1,-3,-1
842,-2,-3,-1
843,-1,-11,-3
844,-11,-21,-6
845,2,2,0
846,-2,-2,0
847,72,42,0
848,-2,12,0
849,57,54,0
850,-13,-16,0
851,-57,-27,-7
852,7,-2,-1
853,-21,10,1
854,-63,-28,-9
855,-2,-24,-5
856,-81,-28,-7
857,84,76,9
858,210,209,15
859,85,72,9
860,-120,-97,-11
861,-181,-178,-15
862,-3,14,-1
863,-82,-57,-11
864,233,161,15
865,10,29,5
866,-30,-49,-7
867,50,30,9
868,-60,-27,-3
869,-63,-31,-7
870,130,87,13
871,57,60,5
872,20,17,5
873,-103,-114,-13
874,274,257,15
875,49,72,11
876,1,-33,-1
877,-2,43,3
878,107,106,11
879,23,2,-3
880,112,140,13
881,-1,3,-3
882,-124,-109,-13
883,39,55,8
884,4,29,8
885,-7,-12,-1
886,-47,-21,-8
887,-28,-39,-8
888,-16,-36,-8
889,-43,-24,-8
890,28,29,8
891,52,28,8
892,24,51,8
893,-26,-29,-8
894,24,14,7
895,92,34,5
896,71,74,8
897,16,29,5
898,22,39,5
899,19,22,4
900,9,6,1
901,1,17,3
902,6,7,1
903,12,20,4
904,-3,-12,-1
905,12,22,-1
906,-15,-19,-3
907,6,-4,-1
908,-4,-1,-1
909,-28,-28,-5
910,36,55,9
911,37,57,9
912,2,5,0
913,2,-2,1
914,-6,-7,0
915,18,36,0
916,-55,9,0
917,-1,-14,0
918,135,144,13
919,-76,-55,-9
920,63,43,9
921,-84,-73,-11
922,189,180,15
923,28,5,7
924,22,19,7
925,-5,7,1
926,-44,-45,-7
927,-55,-33,-9
928,-18,-12,-3
929,206,189,15
930,50,13,7
931,-68,-58,-9
932,17,5,1
933,9,14,5
934,13,15,1
935,73,45,11
936,-16,-36,-5
937,124,147,13
938,210,167,15
939,-135,-102,-13
940,-178,-171,-13
941,3,15,3
942,-13,-14,-1
943,-193,-146,-15
944,105,103,11
945,14,21,5
946,-4,10,3
947,119,115,11
948,-36,-22,-5
949,20,6,-3
950,-8,-14,-5
951,28,25,8
952,3,11,1
953,37,34,7
954,8,10,1
955,-15,1,-1
956,-20,-27,-7
957,28,24,8
958,-40,-24,-8
959,39,46,8
960,-12,-22,-8
961,-18,-19,-5
962,-28,-20,-7
963,26,36,8
964,24,29,5
965,-7,-7,-3
966,-6,-15,-3
967,-6,-15,-3
968,10,22,4
969,-29,-34,-9
970,14,16,4
971,-10,-6,-1
972,18,9,3
973,21,26,4
974,-44,-33,-10
975,-9,-5,-2
976,1,3,-1
977,26,25,3
978,31,32,6
979,10,1,2
980,-2,-1,0
