Season,WOLDiff,WLKDiff,SAGDiff,RPIDiff,POMDiff,MORDiff,DOLDiff,COLDiff,SeedDiff,Team1,Team2
2005,-191,-190,-184,-186,-171,-175,-192,-204,-15,1314,1324
2005,-112,-113,-134,-110,-124,-156,-116,-125,-13,1329,1368
2005,-7,-26,-24,-14,-34,47,-16,-14,-3,1356,1388
2005,31,13,28,6,59,89,27,39,9,1436,1393
2005,9,31,22,52,20,20,11,27,7,1307,1437
2005,29,31,23,23,30,61,34,27,5,1320,1458
2005,44,40,36,41,40,39,43,41,8,1412,1112
2005,-35,-42,-40,-30,-46,-60,-45,-26,-8,1228,1305
2005,16,13,15,13,12,10,20,12,5,1153,1246
2005,-14,-17,-1,-18,-20,-1,-10,-14,-3,1211,1403
2005,-5,-13,-14,-5,-2,-10,-10,-10,-3,1328,1428
2005,8,18,22,19,29,59,11,20,7,1334,1449
2005,-25,-35,-34,-27,-30,-25,-27,-28,-5,1448,1452
2005,33,20,18,49,21,31,25,36,8,1454,1130
2005,-33,-26,-29,-25,-38,-32,-30,-32,-8,1181,1280
2005,-11,-13,-13,-15,-14,-10,-15,-18,-1,1257,1210
2005,27,21,32,5,69,97,23,34,8,1436,1277
2005,29,17,15,50,18,6,18,35,8,1301,1163
2005,-50,-55,-48,-56,-43,-39,-41,-49,-8,1314,1235
2005,14,18,25,11,22,42,19,13,5,1356,1329
2005,-1,-2,-3,4,3,-11,-2,3,-1,1196,1437
2005,66,77,95,50,90,131,68,85,8,1137,1458
2005,-3,5,6,3,8,-3,7,-1,1,1112,1329
2005,-39,-37,-35,-56,-41,-53,-34,-44,-11,1228,1454
2005,11,3,2,9,-1,-2,3,8,3,1257,1449
2005,-3,-9,-16,-6,1,3,-7,-8,-1,1403,1452
2005,11,17,16,12,6,13,16,14,4,1428,1246
2005,12,8,8,17,1,8,12,13,4,1277,1181
2005,-20,-15,-15,-9,-6,-14,-20,-14,-4,1314,1437
2005,27,11,9,49,4,-7,17,33,4,1301,1458
2005,5,9,11,6,14,6,13,6,2,1112,1228
2005,-13,-30,-31,-22,-26,-24,-21,-23,-3,1257,1452
2005,9,3,3,10,-9,-4,11,8,3,1277,1246
2005,-16,-18,-17,-8,-18,-19,-17,-15,-5,1314,1458
2005,-14,-8,-6,-10,-8,-3,-8,-10,-3,1228,1257
2005,15,9,9,15,2,9,14,16,4,1277,1314
2005,-1,-1,-1,-4,-1,2,-1,-1,0,1228,1314
2006,101,93,101,140,67,86,137,87,0,1214,1284
2006,22,26,26,26,49,16,26,22,3,1104,1266
2006,85,64,62,66,70,59,66,61,9,1334,1130
2006,-172,-159,-204,-131,-174,-229,-185,-170,-15,1181,1380
2006,51,47,85,51,70,68,66,46,11,1375,1196
2006,27,13,26,-9,9,29,32,27,1,1423,1203
2006,-63,-48,-41,-71,-40,-20,-52,-58,-11,1211,1462
2006,43,50,49,36,38,49,33,39,9,1102,1228
2006,39,33,37,22,10,18,15,13,5,1361,1231
2006,-34,-34,-49,-51,-48,-68,-40,-41,-9,1261,1233
2006,52,51,73,42,69,65,48,47,7,1285,1305
2006,-56,-63,-57,-67,-76,-96,-78,-67,-13,1397,1457
2006,-18,-7,-13,-27,19,11,-4,-13,-7,1393,1401
2006,-142,-133,-169,-105,-131,-143,-157,-147,-13,1417,1125
2006,29,33,47,11,46,73,38,34,7,1429,1449
2006,-35,-26,-31,-37,-30,-30,-44,-37,-5,1328,1454
2006,25,26,26,31,17,16,29,27,3,1371,1455
2006,-10,-13,-5,1,-1,14,14,-6,1,1458,1112
2006,-28,-23,-26,-13,-28,-43,-35,-30,-9,1242,1133
2006,8,-19,-24,3,-26,-75,5,-15,-1,1116,1137
2006,-144,-118,-152,-116,-135,-151,-137,-131,-15,1163,1107
2006,-16,1,-9,-8,-5,-57,-16,-22,-5,1277,1206
2006,11,9,17,-11,7,36,13,-2,3,1320,1207
2006,-9,5,10,-9,14,29,-5,-2,1,1412,1246
2006,119,106,116,127,121,99,115,124,15,1331,1272
2006,-24,-15,-27,-1,-25,-18,-10,-11,3,1301,1143
2006,-49,-61,-83,-53,-83,-107,-74,-55,-11,1314,1293
2006,-43,-72,-72,-53,-60,-109,-50,-61,-11,1234,1322
2006,107,103,117,89,111,114,120,110,13,1172,1326
2006,39,39,55,37,51,51,51,45,7,1245,1338
2006,-95,-90,-93,-90,-97,-114,-99,-85,-13,1400,1335
2006,162,161,174,142,191,184,155,168,15,1284,1437
2006,-22,-20,-24,9,-30,-32,-22,-1,-5,1452,1356
2006,58,53,83,39,71,100,54,49,8,1285,1130
2006,-5,-15,-21,-36,-30,-39,-8,-16,-7,1181,1203
2006,57,50,60,38,63,49,65,48,8,1454,1196
2006,-20,-13,-7,-25,-14,6,-32,-32,-3,1211,1231
2006,-24,-27,-27,-31,-20,-2,-7,-19,-8,1261,1401
2006,-40,-47,-44,-47,-59,-38,-51,-47,-8,1417,1104
2006,20,14,13,21,9,5,9,10,1,1449,1228
2006,13,12,18,21,24,32,8,8,5,1455,1397
2006,35,22,27,22,24,36,38,36,8,1133,1338
2006,-37,-35,-32,-38,-28,-21,-36,-32,-7,1163,1246
2006,24,17,29,14,18,74,29,34,8,1206,1314
2006,16,13,8,31,8,8,14,22,5,1207,1326
2006,-14,-36,-38,-38,-35,-81,-19,-39,-8,1272,1137
2006,-23,-32,-20,-43,-19,-23,-24,-28,-8,1400,1301
2006,45,44,38,21,32,20,33,35,7,1112,1437
2006,-30,-61,-66,-22,-56,-101,-41,-44,-8,1452,1322
2006,15,11,11,12,12,14,18,14,3,1261,1181
2006,-43,-28,-32,-29,-25,-37,-47,-42,-12,1272,1133
2006,-16,-20,-17,-30,-12,-16,-18,-21,-4,1400,1452
2006,-12,3,5,-1,15,32,-5,-1,1,1211,1417
2006,27,21,18,32,18,12,18,16,4,1449,1163
2006,-13,-12,-10,-21,-12,-12,-13,-14,-4,1196,1207
2006,9,-2,6,-1,-11,21,18,23,4,1206,1455
2006,-11,-15,-14,-20,-16,-9,-9,-16,-3,1437,1130
2006,8,8,8,5,7,12,13,7,2,1261,1400
2006,-13,-9,-8,-6,-5,3,-6,-3,-1,1272,1417
2006,7,4,3,13,2,2,5,11,2,1196,1437
2006,35,23,36,23,26,73,41,42,10,1206,1163
2006,-27,-18,-32,-11,-23,-67,-35,-32,-8,1196,1206
2006,1,2,1,-3,-1,-10,-9,-8,-2,1417,1261
2006,7,7,7,-5,7,-1,2,-6,-1,1417,1196
2007,28,52,69,35,87,105,70,38,0,1197,1310
2007,21,22,30,21,26,31,11,16,3,1403,1130
2007,19,20,47,13,42,1,26,32,7,1330,1139
2007,-107,-99,-118,-107,-126,-125,-121,-110,-13,1207,1125
2007,-11,-24,-18,-33,-34,-11,-26,-19,-3,1231,1211
2007,-9,-31,-20,-26,-38,-38,-34,-31,-5,1257,1390
2007,-3,-13,-44,-32,-63,-61,-13,-20,-9,1268,1172
2007,-6,12,14,-2,15,-6,-8,-8,-1,1266,1277
2007,-143,-163,-167,-124,-187,-187,-159,-145,-15,1314,1184
2007,161,159,191,146,170,145,159,153,15,1148,1326
2007,-67,-68,-78,-67,-85,-72,-73,-69,-11,1338,1460
2007,-85,-82,-101,-71,-97,-99,-78,-77,-11,1401,1335
2007,137,145,147,140,176,173,133,141,13,1451,1417
2007,-8,-21,-45,-29,-62,-57,-29,-24,-5,1181,1433
2007,21,14,17,25,31,33,18,19,5,1203,1435
2007,-83,-60,-73,-65,-61,-84,-70,-79,-11,1450,1331
2007,-28,3,3,-15,21,21,-13,-8,-1,1140,1462
2007,-163,-193,-229,-162,-289,-270,-220,-172,-15,1196,1238
2007,146,148,158,125,167,141,134,137,15,1310,1242
2007,9,1,2,6,1,-4,-1,4,1,1437,1246
2007,-124,-132,-136,-129,-176,-157,-149,-124,-13,1272,1317
2007,17,-2,-1,-3,-31,-36,17,9,3,1166,1305
2007,-98,-82,-84,-71,-72,-76,-90,-99,-11,1332,1275
2007,31,22,20,28,-1,6,13,29,1,1345,1112
2007,68,63,76,53,65,64,70,69,9,1221,1356
2007,53,62,67,67,92,61,58,58,7,1253,1397
2007,-42,-52,-67,-43,-80,-79,-54,-33,-9,1400,1308
2007,26,7,-10,42,-38,-17,8,31,3,1210,1424
2007,-24,-1,-5,12,13,20,-3,-15,-7,1425,1116
2007,45,49,85,23,102,87,63,61,9,1107,1438
2007,1,7,20,-5,-2,9,-1,-10,7,1228,1439
2007,-10,20,23,39,54,68,-6,40,5,1457,1323
2007,67,65,81,77,122,109,70,78,13,1394,1458
2007,8,24,10,11,16,58,18,4,1,1139,1268
2007,30,37,26,23,36,33,29,26,5,1130,1207
2007,-29,-26,-21,-22,-12,-32,-29,-26,-8,1314,1277
2007,52,27,39,32,30,16,54,32,8,1462,1326
2007,-21,-23,-48,-39,-60,-59,-34,-32,-8,1338,1433
2007,-21,-22,-24,-20,-10,-4,-18,-11,-3,1401,1257
2007,33,23,22,25,12,19,20,35,5,1231,1417
2007,34,35,31,21,18,20,33,31,3,1435,1450
2007,43,34,29,36,19,35,33,37,8,1345,1196
2007,-16,-12,-14,-2,-16,-18,-17,-14,-7,1242,1246
2007,5,13,24,15,54,50,13,8,5,1305,1272
2007,3,24,22,49,50,69,-2,56,8,1457,1332
2007,-32,-23,-8,-27,9,-2,-26,-33,-1,1356,1439
2007,-25,-30,-15,-43,-9,-15,-16,-26,1,1397,1438
2007,-12,-16,-24,-6,-45,-25,-20,-7,-5,1458,1424
2007,8,19,19,21,27,32,27,3,1,1425,1400
2007,3,6,13,-4,33,27,5,3,3,1356,1242
2007,9,1,2,9,-4,-2,5,4,1,1401,1272
2007,18,22,22,11,35,28,22,19,4,1397,1326
2007,-8,-6,-4,-2,-4,-4,-3,-5,-1,1417,1338
2007,-21,-33,-18,-21,-24,-63,-26,-16,-4,1196,1139
2007,41,49,46,37,45,41,42,37,4,1435,1207
2007,24,40,34,45,42,43,40,27,4,1425,1314
2007,-4,-9,-14,11,-31,-22,-8,1,-4,1332,1424
2007,6,6,5,7,5,1,5,8,1,1272,1326
2007,-3,1,2,-8,6,9,3,-3,1,1417,1242
2007,5,11,12,15,18,10,9,6,2,1332,1196
2007,4,5,7,7,5,3,5,7,1,1207,1314
2007,-2,2,3,-3,5,8,2,-4,1,1417,1196
2007,7,4,6,8,2,-2,7,9,1,1207,1326
2007,4,1,1,5,-1,-3,4,5,0,1196,1326
2008,84,84,110,69,140,126,104,75,0,1164,1291
2008,-80,-87,-129,-72,-154,-154,-108,-84,-13,1181,1125
2008,-99,-108,-116,-85,-125,-114,-107,-103,-15,1242,1340
2008,17,24,10,22,-5,3,12,21,5,1243,1425
2008,-42,-49,-46,-37,-49,-26,-44,-34,-5,1266,1246
2008,41,21,46,31,48,49,50,33,7,1396,1277
2008,62,48,64,35,66,77,72,50,7,1206,1323
2008,44,39,56,38,53,76,44,48,9,1331,1338
2008,7,9,9,-2,14,18,13,15,5,1124,1345
2008,49,62,95,51,122,119,70,61,11,1165,1390
2008,-2,-6,3,-16,28,23,4,1,-1,1140,1401
2008,-279,-275,-301,-219,-316,-297,-287,-237,-15,1417,1290
2008,-15,-16,-4,-3,13,-1,-5,-1,1,1245,1424
2008,-98,-91,-95,-85,-98,-106,-90,-97,-9,1450,1457
2008,12,14,9,8,-1,6,8,22,3,1112,1452
2008,-75,-66,-77,-69,-106,-85,-80,-74,-11,1458,1168
2008,83,101,80,89,63,35,70,88,11,1208,1462
2008,-19,-18,-18,-9,-21,5,-27,-18,-1,1231,1116
2008,28,42,31,21,43,45,43,30,3,1375,1139
2008,2,7,-1,-5,-5,4,-4,-6,-3,1211,1172
2008,86,99,116,80,137,153,93,101,13,1420,1207
2008,101,81,93,74,122,105,67,64,11,1129,1257
2008,-142,-159,-164,-144,-183,-196,-159,-149,-15,1272,1426
2008,7,9,5,-2,1,-15,1,-1,-3,1274,1388
2008,-5,-19,5,-18,-3,-4,4,-21,-1,1280,1332
2008,-169,-169,-177,-157,-164,-159,-183,-173,-15,1314,1291
2008,-21,-1,-18,-17,-19,-12,-28,-21,-5,1328,1386
2008,79,100,92,76,96,84,85,84,9,1360,1163
2008,-62,-52,-63,-54,-65,-67,-76,-69,-9,1435,1373
2008,-121,-120,-148,-90,-145,-154,-134,-124,-13,1397,1110
2008,-110,-119,-143,-78,-163,-128,-127,-115,-13,1400,1122
2008,21,37,36,32,38,24,26,28,7,1437,1155
2008,-24,-28,-31,-29,-40,-31,-35,-30,-7,1179,1443
2008,-34,-40,-43,-19,-52,-60,-33,-20,-7,1242,1424
2008,-1,-6,-2,-1,9,-4,2,-1,-1,1338,1277
2008,-8,-4,-4,-6,-2,-2,-12,-9,-3,1390,1266
2008,30,32,24,37,14,15,21,26,8,1401,1417
2008,4,9,11,3,16,6,5,-1,1,1323,1450
2008,21,16,14,22,17,12,20,20,5,1452,1181
2008,-37,-42,-26,-39,-11,-15,-32,-42,-8,1458,1243
2008,-17,-21,-18,-36,-7,-3,-9,-15,-3,1462,1345
2008,16,11,18,27,25,22,23,29,8,1172,1207
2008,-17,-24,-20,-14,-27,-37,-9,-20,-3,1257,1328
2008,-43,-25,-36,-37,-31,-23,-41,-36,-7,1272,1280
2008,40,39,38,29,35,26,43,33,8,1116,1314
2008,-6,-7,-17,-16,-18,-31,-7,-6,-5,1397,1139
2008,-28,-30,-27,-28,-40,-40,-26,-26,-5,1400,1274
2008,44,30,44,15,62,64,54,37,1,1373,1437
2008,64,82,66,55,53,35,59,63,1,1360,1443
2008,-10,-6,-6,-12,5,1,-16,-9,-1,1397,1257
2008,13,14,11,21,6,13,12,21,3,1450,1314
2008,-31,-36,-43,-35,-62,-61,-42,-38,-11,1417,1443
2008,-15,-10,-8,-20,-5,4,-12,-14,-4,1462,1452
2008,-19,-12,-20,-24,-29,-19,-26,-30,-7,1458,1172
2008,38,50,51,46,50,34,42,42,11,1437,1242
2008,-15,-19,-14,-13,-14,-14,-12,-16,-4,1272,1277
2008,4,5,1,8,3,5,2,5,1,1390,1400
2008,-14,-11,-12,-11,-4,-7,-20,-12,-2,1314,1257
2008,10,9,8,5,16,18,11,9,2,1462,1417
2008,-21,-16,-24,-30,-32,-26,-29,-32,-9,1242,1172
2008,-6,-5,-5,-3,-4,-4,-6,-7,-1,1272,1400
2008,3,2,1,3,-4,-1,2,4,0,1242,1314
2008,1,-2,-1,1,-1,1,2,1,0,1417,1272
2008,-2,1,2,-2,2,2,-1,-3,0,1272,1242
2009,39,11,23,38,28,62,19,-18,0,1106,1287
2009,182,171,205,166,210,171,197,177,15,1151,1163
2009,106,110,154,87,155,162,110,98,13,1127,1181
2009,98,82,93,73,86,83,94,90,9,1103,1211
2009,-13,-10,-7,-13,-3,20,7,-9,1,1139,1261
2009,14,12,16,16,25,-5,15,10,3,1268,1143
2009,139,141,116,120,103,124,146,145,13,1169,1272
2009,-13,-26,-16,-16,-27,-25,-17,-22,-3,1155,1276
2009,126,106,163,129,168,160,146,135,15,1347,1314
2009,-125,-111,-135,-125,-122,-162,-154,-128,-13,1328,1288
2009,52,54,71,39,68,62,50,40,7,1320,1345
2009,5,-7,-3,-1,-17,-25,-1,7,-3,1400,1278
2009,9,17,23,7,34,9,9,6,1,1401,1140
2009,-43,-37,-59,-17,-46,-54,-63,-51,-5,1417,1433
2009,72,81,96,60,90,94,79,81,11,1110,1437
2009,-53,-57,-66,-21,-76,-66,-62,-50,-7,1228,1443
2009,-47,-43,-52,-49,-44,-13,-61,-43,-9,1449,1280
2009,19,21,17,53,14,-5,10,31,7,1112,1428
2009,-17,-10,-32,1,-35,-36,-42,-26,-5,1113,1396
2009,49,46,55,36,47,58,50,53,9,1156,1448
2009,-15,-38,-50,-6,-75,-78,-21,-8,-5,1452,1173
2009,-58,-54,-64,-76,-60,-76,-49,-75,-11,1242,1295
2009,167,158,182,137,163,169,171,181,15,1287,1257
2009,-2,-16,-19,12,-36,-75,-7,-1,-5,1266,1429
2009,116,116,130,103,109,111,123,111,13,1352,1277
2009,116,106,108,105,90,86,112,114,11,1165,1281
2009,-18,-5,-6,-6,1,7,-8,-7,-1,1329,1397
2009,-120,-98,-131,-114,-107,-130,-130,-127,-15,1338,1190
2009,17,6,33,-14,29,27,19,8,1,1373,1326
2009,73,68,82,62,78,131,78,82,11,1372,1393
2009,-6,14,13,22,32,24,8,4,-3,1130,1425
2009,-26,-13,-4,-30,5,-2,-31,-28,-7,1199,1458
2009,80,109,78,96,93,139,83,94,9,1340,1462
2009,36,40,43,28,49,37,33,31,8,1401,1163
2009,-31,-25,-25,-40,-21,-24,-28,-35,-5,1181,1400
2009,57,68,79,17,94,84,69,47,8,1443,1211
2009,-40,-39,-38,-48,-53,-37,-40,-40,-8,1272,1268
2009,30,35,39,34,44,35,22,28,7,1261,1314
2009,-24,-38,-26,-39,-32,-27,-33,-37,-8,1328,1276
2009,-9,-2,-7,6,-2,1,9,2,1,1345,1449
2009,17,4,1,20,-10,-3,8,9,3,1417,1437
2009,6,5,24,-10,29,39,19,13,1,1156,1112
2009,20,41,49,16,72,75,25,23,8,1173,1242
2009,-33,-28,-53,-14,-61,-61,-39,-28,-8,1257,1373
2009,41,31,27,32,14,6,28,33,8,1425,1277
2009,-12,-13,-12,-25,-10,-3,-9,-17,-3,1281,1266
2009,27,24,28,17,27,24,29,31,7,1329,1338
2009,-15,-9,-7,-19,3,-7,-5,-12,-3,1393,1113
2009,22,16,7,28,6,-1,26,24,8,1458,1462
2009,14,14,8,12,11,12,22,12,4,1345,1163
2009,-6,-7,-4,-3,-9,-9,-8,-4,-1,1272,1281
2009,16,16,22,15,18,22,20,18,3,1462,1338
2009,5,8,12,12,12,7,5,6,1,1437,1181
2009,-47,-44,-38,-58,-35,-37,-36,-48,-11,1257,1112
2009,9,5,8,5,-2,-7,8,4,1,1242,1277
2009,10,9,7,23,3,7,12,18,3,1211,1314
2009,-4,-6,-4,-7,2,13,-1,-4,-1,1328,1393
2009,10,9,7,2,7,7,9,6,2,1281,1163
2009,-7,-10,-14,-11,-13,-9,-8,-8,-2,1338,1437
