Season,AstDiff,BlkDiff,DRDiff,FGA3Diff,FGADiff,FGM3Diff,FGMDiff,FTADiff,FTMDiff,ORDiff,PFDiff,ScoreDiff,SeedDiff,StlDiff,TODiff,Team1,Team2
2004,-4,-2,-13,18,8,5,-7,-17,-8,0,11,-17,13,1,-1,1436,1163
2004,-2,0,-6,7,20,-2,3,-17,-11,7,10,-7,3,1,-1,1173,1177
2004,-12,-3,-7,-6,-9,-2,-10,-14,-13,-8,1,-35,15,-7,7,1106,1181
2004,-11,-5,-15,10,9,3,-11,-14,-8,0,6,-27,13,0,-2,1434,1211
2004,-6,0,-1,-2,-15,-3,-5,1,-2,-9,-3,-15,-7,-4,4,1196,1264
2004,-4,-4,-1,-1,-3,-3,0,-7,0,-7,5,-3,9,-5,0,1431,1268
2004,4,-2,-3,-6,9,-2,3,-11,-10,1,9,-6,-3,3,-3,1277,1305
2004,3,1,-2,12,-14,4,-5,-5,-5,-12,0,-11,5,-3,3,1102,1314
2004,0,-3,-1,11,5,3,-1,5,3,5,4,4,-1,2,-4,1371,1112
2004,1,2,-3,3,9,2,5,10,7,3,-5,19,-15,8,-12,1386,1251
2004,9,6,12,-1,-9,4,12,-6,-2,-11,5,26,-15,3,1,1390,1427
2004,7,-3,3,10,9,-1,2,-9,-8,10,8,-5,7,0,2,1140,1393
2004,1,-1,-12,11,1,-6,-5,-2,-1,-8,2,-17,11,2,-6,1343,1400
2004,-3,2,-2,13,-1,2,-4,3,3,-1,4,-3,1,4,-2,1150,1403
2004,1,2,-3,4,3,5,1,-14,-8,-2,6,-1,9,0,6,1433,1448
2004,-8,-3,-4,14,6,0,-4,-1,1,5,-1,-7,5,-2,0,1428,1130
2004,8,8,12,9,-12,7,0,-9,-4,-5,5,3,-9,-8,11,1153,1190
2004,5,-2,-4,9,-1,4,-4,-2,-1,-5,2,-5,11,-2,-2,1320,1210
2004,11,3,10,4,11,1,10,-4,-2,7,4,19,-7,1,-2,1228,1293
2004,-8,-8,-20,4,25,-2,-4,-26,-15,5,6,-25,9,3,-10,1227,1242
2004,-10,-4,-12,2,4,0,-5,-11,-10,-1,4,-20,15,5,0,1197,1246
2004,7,0,1,14,17,7,8,-9,-7,10,1,16,-3,-2,-3,1272,1376
2004,7,3,17,-5,5,-1,12,8,10,10,-5,33,-13,5,0,1280,1284
2004,1,-2,3,-5,0,0,2,1,5,2,-1,9,-11,-4,0,1301,1418
2004,4,-3,-11,13,4,1,-9,-3,-2,1,-1,-19,13,-4,-1,1186,1329
2004,-5,1,-1,12,11,0,-1,-12,-6,8,7,-8,-7,-3,3,1344,1334
2004,-3,1,3,-4,-8,0,-3,21,15,1,-7,9,-11,2,-1,1338,1416
2004,-4,3,5,-6,-1,-3,5,-10,-9,-1,4,-2,-1,-2,4,1449,1412
2004,6,4,7,0,-17,9,4,2,-4,-10,-4,13,-5,-4,5,1435,1444
2004,3,0,-2,-2,3,-1,0,-11,-11,2,8,-12,5,1,5,1350,1458
2004,-3,0,14,-14,-17,-1,-2,16,15,-1,-11,10,-3,-1,5,1462,1257
2004,-4,8,-3,-5,-30,-3,-10,33,26,-17,-15,3,7,4,-4,1104,1390
2004,-3,-5,-5,-1,-1,0,-6,-10,-5,-4,5,-17,5,-4,3,1177,1163
2004,-5,-3,-15,6,9,-1,-2,-22,-23,-3,9,-28,7,1,0,1371,1181
2004,9,3,9,-5,-11,5,2,11,10,-5,-5,19,8,0,-2,1305,1211
2004,3,2,0,-19,-4,-9,-2,9,8,-2,-5,-5,7,3,-4,1403,1386
2004,2,1,2,0,-3,-1,-2,0,3,0,1,-2,-1,-2,5,1268,1393
2004,4,0,-6,15,10,4,-2,-4,-3,7,2,-3,3,0,0,1314,1400
2004,0,-1,5,0,-6,1,0,4,3,0,-5,4,-8,0,2,1448,1264
2004,-1,1,3,-5,-7,-1,-3,9,4,3,-3,-3,3,-1,5,1130,1210
2004,12,-4,-1,3,-3,4,8,3,4,-12,0,24,1,8,-9,1228,1153
2004,2,-2,-7,5,-6,1,-6,-6,-4,-6,3,-15,8,-5,1,1334,1242
2004,9,-2,9,-5,-3,-1,8,3,2,3,1,17,-5,2,5,1329,1272
2004,1,0,1,-8,11,-6,4,2,2,8,-3,4,-3,3,-4,1338,1458
2004,6,-3,-6,-2,6,1,3,-5,-6,-2,3,1,8,5,-4,1412,1246
2004,-2,-1,1,6,8,3,4,-13,-13,3,7,-2,-3,-3,-2,1301,1435
2004,0,6,10,-7,-17,4,4,2,3,-12,-7,15,5,-8,5,1462,1280
2004,10,2,-2,8,-3,4,0,3,5,-6,-3,9,3,6,-9,1104,1393
2004,3,4,18,-7,-6,-2,7,7,8,5,-4,20,-4,-2,7,1163,1435
2004,-5,-4,-7,9,13,-1,-1,-6,-9,10,2,-12,1,-1,2,1338,1329
2004,0,4,-1,8,7,4,2,-2,-4,3,-1,4,-3,2,-4,1386,1448
2004,-2,-3,-2,-5,13,-2,-2,-4,-4,9,1,-10,4,-5,-1,1228,1181
2004,-5,-2,-7,2,6,-1,-5,2,6,3,0,-5,7,-5,-5,1305,1210
2004,-9,1,-16,23,15,4,-7,-20,-16,4,8,-26,5,4,-5,1412,1242
2004,1,-3,2,9,-4,1,-3,18,13,2,-5,8,4,5,-1,1462,1400
2004,3,2,4,-2,0,4,4,11,4,3,-5,16,-6,1,-2,1163,1104
2004,2,-3,-12,9,4,4,-3,-2,0,-6,-2,-2,-1,6,-8,1386,1329
2004,-7,-7,-5,-5,9,-5,1,3,0,6,-2,-3,6,-1,-1,1462,1181
2004,1,0,-4,3,9,3,1,-15,-13,1,9,-8,1,-5,3,1242,1210
2004,-2,3,11,-11,-19,0,-3,9,7,-4,-4,1,1,-3,9,1163,1181
2004,6,4,1,2,-1,3,2,-9,-5,-5,4,2,1,4,-1,1210,1329
2004,-1,-1,-7,5,10,2,1,-18,-13,0,8,-9,1,5,-2,1210,1163
2005,2,1,-10,13,2,3,-6,-2,-1,-4,3,-10,0,4,-3,1105,1324
2005,6,-3,-4,5,6,1,-3,-8,-8,3,4,-13,11,3,1,1429,1112
2005,-7,-4,-15,18,19,2,-5,-15,-12,8,5,-20,9,3,-2,1335,1130
2005,-13,-7,0,-1,2,-4,-7,3,6,7,1,-12,3,1,3,1234,1153
2005,-3,5,3,-10,-1,-5,5,10,5,1,-5,10,-11,1,-3,1211,1457
2005,5,-1,-5,5,-3,2,0,10,10,-7,-6,12,-15,2,-9,1228,1192
2005,-3,3,0,-7,-8,-4,0,15,12,-4,-9,8,-13,4,-3,1246,1184
2005,9,1,6,4,-6,-2,-1,12,8,3,-2,4,1,-1,3,1305,1400
2005,4,1,8,-15,6,-3,10,0,0,3,-2,17,-11,1,-2,1328,1310
2005,5,-2,5,-3,-4,2,1,5,4,0,-2,8,-1,-5,2,1334,1338
2005,5,0,10,-13,-8,-3,6,1,3,-5,-1,12,-5,2,1,1403,1417
2005,5,-3,-2,-15,-5,1,4,14,5,-5,-3,14,5,2,-6,1412,1261
2005,-2,-3,-8,-15,4,-4,1,-11,-4,-10,7,-6,5,-1,-8,1431,1428
2005,-4,-1,2,-8,-6,-2,-3,-12,-8,-4,7,-16,13,-5,7,1151,1448
2005,4,1,2,-1,-7,0,-1,14,13,-3,-2,11,-15,4,-2,1449,1285
2005,7,1,4,0,-4,0,1,0,0,-2,-1,2,-3,4,-1,1452,1166
2005,3,-2,-8,-2,0,3,0,12,7,-4,-2,10,7,3,-12,1454,1104
2005,-3,2,5,-20,-9,-7,-2,11,10,-1,-6,-1,-11,-5,4,1242,1137
2005,1,0,12,-22,-3,-8,8,4,-2,2,-8,6,-13,-3,3,1163,1416
2005,-1,5,6,5,-13,1,-3,23,16,-4,-8,11,-15,2,-3,1181,1175
2005,-7,-3,2,-5,-8,2,-3,7,-1,-1,0,-5,9,-3,4,1325,1196
2005,8,1,-10,0,9,-1,1,-6,-13,2,-2,-12,7,-1,-3,1203,1210
2005,-3,-7,-3,15,6,3,-4,-9,-6,5,1,-11,-1,-3,4,1278,1235
2005,-2,2,-4,10,4,2,-2,9,8,3,-2,6,-9,-2,-7,1257,1418
2005,-2,0,5,-6,-10,-4,3,10,6,-5,-7,8,-7,0,-2,1277,1330
2005,4,3,11,-1,-6,5,8,1,2,-2,0,23,1,-3,4,1280,1390
2005,3,6,-2,-2,1,-4,3,8,10,-1,-8,12,3,6,-4,1301,1150
2005,-15,-3,-13,-4,0,-6,-12,-1,2,-4,3,-28,15,0,-5,1324,1314
2005,3,-1,8,-3,-8,1,-2,19,16,3,-9,13,-13,-1,0,1329,1368
2005,-9,0,5,8,-10,0,-8,8,7,4,-5,-9,3,-6,10,1388,1356
2005,-6,3,6,-9,-4,-4,1,-2,-1,1,0,-3,-9,-1,8,1393,1436
2005,3,0,6,4,-4,4,-2,12,8,6,-5,8,-7,3,3,1437,1307
2005,-6,0,2,-9,5,-7,2,-2,-2,3,2,-5,5,1,0,1320,1458
2005,1,5,11,-8,-7,1,9,5,3,-4,-8,22,-8,-2,2,1112,1412
2005,-8,-2,-6,-3,5,1,-6,5,-1,6,-1,-12,8,1,-2,1305,1228
2005,-6,-1,-8,14,12,0,-5,1,1,9,2,-9,5,-3,-5,1153,1246
2005,-4,0,3,2,3,-2,0,2,0,9,3,-2,-3,-5,6,1211,1403
2005,12,-1,16,-11,-29,3,1,9,4,-10,-5,9,3,-6,13,1428,1328
2005,4,2,9,-1,-3,1,6,2,5,-5,2,18,-7,-2,-1,1449,1334
2005,-3,2,-4,-2,-1,-2,1,3,6,-7,-2,6,5,-2,-7,1452,1448
2005,1,3,-5,13,5,7,3,-13,-5,-5,4,8,8,5,-6,1454,1130
2005,-1,1,9,8,-12,4,-1,0,6,-5,3,8,-8,1,6,1181,1280
2005,-1,7,13,5,-11,4,2,18,14,2,-6,22,-1,-6,4,1257,1210
2005,-7,-4,-9,10,14,5,-5,-8,-6,11,3,-11,8,0,0,1436,1277
2005,4,0,-3,6,-2,8,-2,-1,-1,-2,2,3,8,7,-1,1301,1163
2005,0,2,8,12,-11,4,4,20,15,-5,-5,27,-8,6,-4,1314,1235
2005,-4,0,-6,7,10,0,-2,-3,-4,4,5,-8,5,5,-3,1356,1329
2005,-1,0,-3,7,-6,4,-4,-10,-7,-7,7,-11,-1,-5,5,1196,1437
2005,1,-1,0,2,-4,2,-2,15,11,1,-12,9,-8,1,-3,1458,1137
2005,0,-5,-12,9,19,3,-2,-4,0,8,0,-1,-1,7,-6,1329,1112
2005,8,-1,3,-9,0,2,6,-3,0,-5,8,14,-11,3,-3,1228,1454
2005,-2,-4,-14,-1,11,-5,-3,0,-3,3,7,-14,-3,1,-6,1449,1257
2005,-4,-2,-1,-14,5,-8,0,3,3,4,0,-5,-1,6,-2,1403,1452
2005,0,-2,-5,-3,2,0,-7,9,4,5,-5,-10,4,-1,-2,1428,1246
2005,4,-2,-2,-9,14,-2,5,-1,2,7,0,10,4,2,-6,1277,1181
2005,-4,2,-11,9,13,0,3,-5,-7,2,-3,-1,4,2,-8,1437,1314
2005,-5,-5,12,-12,-8,-5,2,12,10,2,-11,9,-4,-8,5,1458,1301
2005,0,-6,-7,17,10,9,0,-6,-8,2,8,1,-2,1,-4,1228,1112
2005,4,-2,-4,-1,-11,7,-6,-10,-3,-11,1,-8,3,-3,3,1452,1257
2005,1,0,2,0,-5,1,-1,7,7,1,-5,6,3,-1,2,1277,1246
2005,-2,-5,-2,8,-3,6,-4,-5,-4,-2,2,-6,5,0,3,1458,1314
2005,-11,4,-9,-10,-2,-6,-6,4,3,-3,1,-15,3,1,-2,1257,1228
2005,3,2,11,-3,-3,-1,10,-1,-3,-2,-2,16,-4,-5,1,1314,1277
2005,6,-1,-4,24,18,3,0,-13,-8,9,5,-5,0,4,-2,1228,1314
2006,-14,-6,-4,-11,2,-6,-8,4,0,8,0,-22,0,2,4,1214,1284
2006,2,-1,1,1,-6,5,-4,12,8,3,-5,5,3,-5,2,1104,1266
2006,-4,0,0,2,6,4,-3,-11,-10,7,6,-12,9,-8,7,1334,1130
2006,-7,-4,-10,-2,13,-1,-2,-10,-11,7,9,-16,15,5,-4,1380,1181
2006,-13,-4,-7,-5,-4,-1,-10,-4,-5,-1,8,-26,11,-1,5,1375,1196
2006,-4,0,-6,0,12,-1,-1,4,6,7,-2,3,-1,4,-5,1203,1423
2006,-3,3,4,-16,-1,-4,5,-6,-2,-2,5,4,-11,0,2,1211,1462
2006,2,0,7,-5,9,-5,8,-4,-2,6,4,9,-9,-1,0,1228,1102
2006,1,2,10,-8,-16,2,-4,-1,2,-5,3,-4,5,-4,7,1361,1231
2006,-10,-8,-14,8,10,-2,-4,-2,-6,4,2,-16,9,2,-3,1233,1261
2006,3,-5,3,-6,-14,1,-4,17,15,-7,-11,8,7,-3,-1,1285,1305
2006,-2,3,2,-3,-3,-2,2,-3,0,-4,0,2,-13,-1,-2,1397,1457
2006,-2,-3,0,-1,-5,-3,0,-1,-5,-3,-3,-8,-7,-2,2,1393,1401
2006,11,1,18,-6,-3,0,13,4,8,0,-2,34,-13,3,0,1417,1125
2006,2,-1,-9,14,8,9,3,-2,-1,-4,0,14,-7,8,-15,1449,1429
2006,-5,-3,-3,6,-6,1,-7,24,21,0,-10,8,5,0,-6,1454,1328
2006,9,-3,5,2,-4,4,6,13,4,3,-4,20,-3,-4,2,1455,1371
2006,0,3,10,-10,1,-5,10,1,4,-1,2,19,-1,5,-1,1112,1458
2006,6,0,-1,3,-6,4,-3,13,6,0,-8,4,9,-6,-2,1133,1242
2006,3,2,-1,-9,3,-9,2,6,1,4,-2,-4,-1,-6,-1,1116,1137
2006,5,4,7,1,-6,4,3,5,3,-1,-5,13,-15,-5,4,1163,1107
2006,10,-4,-12,14,11,5,-3,-21,-9,-4,13,-10,-5,-2,-4,1277,1206
2006,5,1,2,-7,-2,-2,3,2,1,-1,-3,5,-3,0,1,1207,1320
2006,5,4,-2,-1,-3,0,6,-13,-17,-7,4,-5,1,3,2,1412,1246
2006,2,-2,4,7,8,4,9,-4,-6,5,4,16,-15,6,0,1272,1331
2006,-1,0,-1,0,5,0,-1,-7,-4,2,3,-6,-3,2,2,1143,1301
2006,10,1,9,-9,-17,-2,-3,13,12,-5,-7,4,-11,1,4,1314,1293
2006,-7,1,10,-5,-19,-3,-5,12,12,-5,-4,-1,-11,-5,8,1234,1322
2006,-3,1,-2,0,-3,0,0,16,8,1,-7,8,-13,1,-5,1326,1172
2006,6,6,9,-8,-13,-3,8,2,2,-10,-6,15,-7,-2,2,1338,1245
2006,3,-5,-18,17,8,8,-1,-13,-14,-3,6,-8,13,0,-3,1335,1400
2006,5,2,0,-8,-11,-3,-2,-6,-6,-9,0,-13,15,-6,5,1284,1437
2006,-3,-1,-2,-19,-3,-7,-2,-7,-7,-3,4,-18,5,-1,4,1356,1452
2006,3,-6,-6,3,-8,-1,-7,2,2,-9,2,-13,8,1,-1,1285,1130
2006,-2,-7,-10,2,24,-1,0,-18,-12,10,14,-13,7,4,-4,1203,1181
2006,-7,-4,-12,0,5,-1,-8,-2,-5,4,-1,-22,8,0,1,1454,1196
2006,5,1,-3,25,8,14,3,-35,-30,0,15,-10,3,-7,6,1231,1211
2006,4,-3,3,1,-1,4,3,-11,-11,-2,10,-1,8,3,4,1401,1261
2006,-7,-1,6,-14,-8,-7,-5,12,14,3,-5,-3,8,2,4,1104,1417
2006,7,-5,-2,3,18,0,8,-28,-19,2,11,-3,-1,-1,1,1228,1449
2006,-1,5,-5,14,19,1,3,-16,-14,9,8,-7,-5,6,-3,1397,1455
2006,-3,0,2,14,2,4,3,-21,-16,-4,7,-6,-8,-6,6,1338,1133
2006,1,0,-1,-11,0,-4,2,12,4,2,-5,4,-7,0,-2,1163,1246
2006,2,8,0,14,6,6,0,-15,-11,2,7,-5,-8,-4,5,1314,1206
2006,8,1,4,-2,11,1,8,3,1,9,-4,18,5,2,-3,1207,1326
2006,-7,-2,4,-4,-7,-5,-8,3,5,4,0,-16,8,-6,10,1137,1272
2006,7,0,7,-3,0,5,4,7,8,3,-3,21,-8,1,-3,1400,1301
2006,2,-2,-5,-2,13,-4,0,0,0,8,0,-4,7,1,-3,1112,1437
2006,-2,-1,-4,2,-9,1,-3,22,18,-9,-9,13,-8,6,-10,1452,1322
2006,2,4,2,-19,-4,-3,6,7,-1,-1,-2,8,3,-2,-1,1261,1181
2006,5,4,9,-1,0,1,11,-9,-7,-3,0,16,-12,6,-4,1272,1133
2006,0,0,-15,14,-3,11,-3,-12,-8,-14,2,-3,4,-5,-5,1452,1400
2006,2,0,6,-11,-6,-3,1,-4,-1,-1,0,-2,1,-2,7,1211,1417
2006,-6,-2,-11,1,29,-4,7,-24,-16,7,13,-6,4,12,-9,1449,1163
2006,-8,4,3,-8,-9,0,-2,9,8,-4,-2,4,-4,-4,0,1196,1207
2006,-4,-4,-4,8,20,-5,0,-6,-3,15,5,-8,-4,-1,0,1455,1206
2006,-9,-4,-7,0,11,-1,-2,3,6,4,0,1,-3,6,-10,1437,1130
2006,4,0,2,-11,-3,-7,7,5,3,-5,-3,10,2,1,-2,1261,1400
2006,-2,-1,2,9,14,0,3,-24,-11,3,15,-5,-1,4,1,1272,1417
2006,-6,-2,-20,6,19,0,-4,-4,-5,7,2,-13,-2,4,-10,1437,1196
2006,-2,-5,2,-4,-6,2,-1,6,2,1,-3,2,10,0,2,1206,1163
2006,-2,-2,-8,-14,3,-10,0,-5,-5,-5,3,-15,8,3,-4,1206,1196
2006,-6,2,-8,-12,-1,-5,-5,11,1,-1,-6,-14,2,-1,-2,1261,1417
2006,-10,-9,0,-2,3,-3,-4,-6,-5,5,9,-16,-1,-4,6,1417,1196
2007,-3,-1,-2,10,-2,4,-5,10,14,2,-9,8,0,-1,-2,1310,1197
2007,-5,-9,-8,-3,8,-1,0,-11,-8,0,5,-9,3,1,-2,1403,1130
2007,-7,1,-4,-4,9,-5,-1,-9,-4,3,6,-11,7,2,0,1330,1139
2007,7,3,12,-10,-3,1,9,3,6,-3,0,25,-13,3,0,1207,1125
2007,-1,3,-9,-6,-2,-2,-4,0,-3,-6,3,-13,3,3,-3,1211,1231
2007,2,0,-2,5,0,4,4,1,8,-9,3,20,-5,9,-8,1257,1390
2007,2,2,13,-20,-2,-4,7,5,2,6,-2,12,-9,-5,5,1268,1172
2007,-10,1,-7,19,6,6,-7,0,-4,8,1,-12,-1,0,0,1266,1277
2007,10,5,17,-9,-2,0,9,5,3,5,-5,21,-15,-5,6,1314,1184
2007,-6,1,-5,6,-1,-1,-9,-8,-2,-3,7,-21,15,-1,2,1148,1326
2007,-9,-6,-19,-1,14,-5,-7,-2,-2,5,3,-21,11,6,-9,1460,1338
2007,2,4,10,-7,-7,1,3,19,9,3,-6,16,-11,2,-2,1401,1335
2007,-10,-2,-3,-13,-20,-9,-14,13,9,-7,-5,-28,13,-1,4,1451,1417
2007,3,-5,-7,5,3,6,-1,-8,-2,-4,7,2,5,8,-6,1433,1181
2007,-16,2,-4,-17,-13,-9,-13,9,2,-1,-6,-33,5,-3,9,1203,1435
2007,-1,-4,-5,8,-4,1,-8,4,-1,3,-3,-16,11,0,6,1331,1450
2007,2,2,3,-2,-11,-1,-5,16,13,-2,-4,2,1,1,0,1462,1140
2007,-17,-5,-26,-6,-4,-4,-18,-13,-3,-17,7,-43,15,3,-4,1238,1196
2007,20,6,10,3,8,11,19,-8,-9,-3,9,40,-15,2,-9,1242,1310
2007,-4,-3,-7,2,11,2,-2,-11,-7,0,4,-9,1,0,-3,1437,1246
2007,0,3,2,6,9,0,6,5,3,9,-6,15,-13,0,-3,1272,1317
2007,-4,-8,-13,-1,9,-4,2,-5,-6,-4,1,-6,3,8,-13,1166,1305
2007,0,-3,-1,-4,0,-2,-2,7,8,1,-3,2,-11,2,-2,1332,1275
2007,-6,-5,-3,2,12,1,3,11,2,10,-5,9,1,6,-9,1345,1112
2007,-1,-3,0,-1,1,-1,-4,1,-1,2,2,-10,9,0,2,1221,1356
2007,-14,-1,-8,-6,-8,-2,-11,-16,-11,-7,3,-35,7,-9,7,1253,1397
2007,-3,4,3,-9,-11,-3,0,14,15,-7,-8,12,-9,3,-2,1400,1308
2007,4,1,0,19,-1,5,-6,10,11,3,-3,4,-3,-1,-2,1424,1210
2007,5,2,14,-7,-7,1,4,5,8,-1,-2,17,-7,3,1,1425,1116
2007,0,-1,-13,9,2,-1,-8,-11,-10,-3,5,-27,9,-1,1,1107,1438
2007,-1,3,-10,-3,-3,0,-4,13,10,-5,-10,2,-7,8,-12,1439,1228
2007,10,4,4,-1,-5,4,0,6,6,-2,-6,10,5,-5,0,1457,1323
2007,3,1,4,-8,-9,-1,-2,-5,-8,-4,5,-13,13,-3,7,1394,1458
2007,-1,8,8,-15,-3,-6,0,9,3,6,-2,-3,-1,-6,5,1268,1139
2007,-3,-4,-4,5,3,2,-1,-8,-7,-1,3,-7,5,0,-1,1130,1207
2007,3,-3,-8,4,7,2,-3,-17,-10,-3,10,-14,8,-1,0,1277,1314
2007,-3,4,10,-2,2,1,0,4,6,7,-2,7,-8,1,5,1326,1462
2007,-7,-3,-9,11,14,1,-2,-10,-2,1,5,-5,8,4,-9,1433,1338
2007,4,-6,-3,-10,-4,0,-1,8,5,-2,-5,3,-3,3,-3,1401,1257
2007,2,-2,4,-7,-5,-3,0,3,8,-4,0,5,-5,2,-2,1417,1231
2007,-3,-2,1,8,3,3,0,1,1,2,1,4,3,2,-2,1435,1450
2007,-4,3,7,1,-17,0,-7,18,21,-4,-9,7,-8,-5,3,1196,1345
