Season,WOLDiff,WLKDiff,SAGDiff,POMDiff,MORDiff,DOLDiff,COLDiff,Team1,Team2,SeedDiff
2004,83,81,65,58,43,94,80,1197,1250,0
2004,-4,-5,3,11,31,-26,-17,1356,1104,1
2004,127,120,143,154,158,108,105,1436,1163,13
2004,-4,-8,-9,-9,-12,3,5,1177,1173,-3
2004,260,252,262,277,269,271,239,1106,1181,15
2004,134,126,148,130,112,127,122,1434,1211,13
2004,-38,-25,-38,-38,-52,-29,-27,1196,1264,-7
2004,36,30,25,27,62,18,21,1431,1268,9
2004,-5,15,19,15,-11,17,10,1277,1305,-3
2004,33,32,30,36,50,22,28,1102,1314,5
2004,-6,4,2,-5,6,-4,-8,1371,1112,-1
2004,-188,-170,-194,-176,-182,-189,-160,1386,1251,-15
2004,210,199,227,204,206,204,179,1427,1390,15
2004,-26,-6,5,-4,-16,-10,-25,1393,1140,-7
2004,108,85,101,85,113,78,97,1343,1400,11
2004,3,-5,5,10,14,-4,-1,1150,1403,1
2004,-54,-37,-68,-69,-63,-42,-42,1448,1433,-9
2004,12,3,1,4,14,4,6,1428,1130,5
2004,48,36,59,52,80,31,37,1190,1153,9
2004,-66,-64,-76,-70,-71,-65,-54,1210,1320,-11
2004,-41,-34,-32,-44,-57,-36,-37,1228,1293,-7
2004,-61,-38,-57,-33,-49,-43,-52,1242,1227,-9
2004,285,272,283,272,253,271,260,1197,1246,15
2004,3,-3,5,-3,-3,-4,-9,1272,1376,-3
2004,156,145,172,181,207,148,118,1284,1280,13
2004,-78,-47,-59,-54,-59,-65,-60,1301,1418,-11
2004,143,109,122,120,119,120,134,1186,1329,13
2004,41,41,50,50,67,35,40,1334,1344,7
2004,-51,-57,-76,-95,-117,-51,-55,1338,1416,-11
2004,11,10,13,15,-2,8,12,1449,1412,-1
2004,-19,1,-7,-6,-1,9,-5,1435,1444,-5
2004,-39,-29,-29,-24,-42,-40,-42,1458,1350,-5
2004,-17,-7,-17,-3,-2,-3,-14,1257,1462,3
2004,30,32,27,22,20,43,35,1104,1390,7
2004,-30,-34,-40,-44,-41,-31,-29,1163,1177,-5
2004,32,35,33,27,31,37,26,1371,1181,7
2004,-43,-20,-22,-20,-14,-31,-27,1211,1305,-8
2004,-25,-33,-24,-24,-19,-30,-28,1386,1403,-7
2004,-3,-8,-18,-11,-7,-5,8,1268,1393,-1
2004,4,-3,-2,-6,-9,5,8,1314,1400,3
2004,43,29,46,43,55,40,29,1264,1448,8
2004,-15,-30,-30,-30,-18,-19,-14,1210,1130,-3
2004,4,5,4,4,3,-1,4,1228,1153,1
2004,-39,-43,-49,-46,-76,-37,-42,1242,1334,-8
2004,19,21,24,23,29,19,19,1272,1329,5
2004,13,3,6,11,-2,6,4,1458,1338,3
2004,-42,-36,-36,-32,-39,-45,-41,1246,1412,-8
2004,9,12,9,18,20,19,8,1435,1301,3
2004,40,21,28,19,13,30,36,1462,1280,5
2004,-14,-10,2,-7,-3,-22,-24,1393,1104,-3
2004,13,15,14,16,26,20,15,1435,1163,4
2004,1,-4,-5,6,-1,-2,-1,1329,1338,-1
2004,-9,-14,-9,-8,-3,-12,-14,1386,1448,-3
2004,17,14,17,18,15,12,12,1228,1181,4
2004,-42,-17,-17,-12,-26,-26,-23,1210,1305,-7
2004,20,19,17,11,27,30,24,1412,1242,5
2004,34,11,22,9,1,25,28,1462,1400,4
2004,-23,-27,-26,-26,-24,-35,-30,1163,1104,-6
2004,-3,-5,-3,-4,7,-5,-3,1386,1329,-1
2004,42,26,36,25,20,34,39,1462,1181,6
2004,14,12,15,15,4,11,6,1242,1210,1
2004,-5,-7,-6,-7,-2,-7,-7,1181,1163,-1
2004,3,2,3,1,5,3,6,1210,1329,1
2004,-2,1,-1,-2,-7,1,-3,1163,1210,-1
2005,-60,-55,-101,-95,-103,-86,-37,1324,1105,0
2005,-42,-27,-32,-11,-22,-53,-54,1112,1429,-11
2005,-79,-46,-51,-60,-66,-69,-77,1130,1335,-9
2005,9,6,3,2,4,2,9,1234,1153,3
2005,-56,-77,-85,-78,-109,-56,-63,1211,1457,-11
2005,-181,-181,-200,-192,-195,-182,-176,1228,1192,-15
2005,-110,-114,-136,-135,-160,-107,-122,1246,1184,-13
2005,-1,8,16,13,27,17,-11,1305,1400,1
2005,-123,-99,-117,-100,-103,-104,-110,1328,1310,-11
2005,17,2,2,-17,-46,11,5,1338,1334,1
2005,7,10,29,10,9,28,4,1417,1403,5
2005,15,22,18,23,26,26,23,1412,1261,5
2005,-24,-28,-28,-43,-24,-24,-12,1428,1431,-5
2005,126,127,139,160,165,134,128,1151,1448,13
2005,-166,-170,-177,-182,-170,-161,-157,1449,1285,-15
2005,14,2,7,2,16,18,6,1166,1452,3
2005,20,22,20,24,45,20,25,1454,1104,7
2005,-74,-90,-105,-98,-132,-79,-98,1242,1137,-11
2005,97,128,156,180,177,133,104,1416,1163,13
2005,-157,-169,-207,-196,-208,-182,-157,1181,1175,-15
2005,-40,-55,-61,-75,-98,-50,-45,1196,1325,-9
2005,27,11,20,21,13,23,20,1203,1210,7
2005,11,21,13,14,-7,11,19,1235,1278,1
2005,47,58,69,49,64,67,59,1418,1257,9
2005,-10,-33,-42,-66,-67,-21,-23,1277,1330,-7
2005,-1,-13,-17,3,-4,-15,-2,1280,1390,1
2005,11,-3,-18,-25,-42,-2,17,1301,1150,3
2005,-191,-190,-184,-171,-175,-192,-204,1314,1324,-15
2005,112,113,134,124,156,116,125,1368,1329,13
2005,7,26,24,34,-47,16,14,1388,1356,3
2005,-31,-13,-28,-59,-89,-27,-39,1393,1436,-9
2005,9,31,22,20,20,11,27,1307,1437,7
2005,29,31,23,30,61,34,27,1320,1458,5
2005,-44,-40,-36,-40,-39,-43,-41,1112,1412,-8
2005,35,42,40,46,60,45,26,1305,1228,8
2005,-16,-13,-15,-12,-10,-20,-12,1246,1153,-5
2005,-14,-17,-1,-20,-1,-10,-14,1211,1403,-3
2005,5,13,14,2,10,10,10,1428,1328,3
2005,-8,-18,-22,-29,-59,-11,-20,1449,1334,-7
2005,-25,-35,-34,-30,-25,-27,-28,1448,1452,-5
2005,-33,-20,-18,-21,-31,-25,-36,1130,1454,-8
2005,33,26,29,38,32,30,32,1280,1181,8
2005,-11,-13,-13,-14,-10,-15,-18,1257,1210,-1
2005,-27,-21,-32,-69,-97,-23,-34,1277,1436,-8
2005,29,17,15,18,6,18,35,1301,1163,8
2005,50,55,48,43,39,41,49,1235,1314,8
2005,14,18,25,22,42,19,13,1356,1329,5
2005,-1,-2,-3,3,-11,-2,3,1196,1437,-1
2005,-66,-77,-95,-90,-131,-68,-85,1458,1137,-8
2005,3,-5,-6,-8,3,-7,1,1329,1112,-1
2005,-39,-37,-35,-41,-53,-34,-44,1228,1454,-11
2005,11,3,2,-1,-2,3,8,1257,1449,3
2005,3,9,16,-1,-3,7,8,1452,1403,1
2005,11,17,16,6,13,16,14,1428,1246,4
2005,-12,-8,-8,-1,-8,-12,-13,1181,1277,-4
2005,-20,-15,-15,-6,-14,-20,-14,1314,1437,-4
2005,-27,-11,-9,-4,7,-17,-33,1458,1301,-4
2005,-5,-9,-11,-14,-6,-13,-6,1228,1112,-2
2005,-13,-30,-31,-26,-24,-21,-23,1257,1452,-3
2005,-9,-3,-3,9,4,-11,-8,1246,1277,-3
2005,-16,-18,-17,-18,-19,-17,-15,1314,1458,-5
2005,14,8,6,8,3,8,10,1257,1228,3
2005,-15,-9,-9,-2,-9,-14,-16,1314,1277,-4
2005,-1,-1,-1,-1,2,-1,-1,1228,1314,0
2006,-101,-93,-101,-67,-86,-137,-87,1284,1214,0
2006,22,26,26,49,16,26,22,1104,1266,3
2006,85,64,62,70,59,66,61,1334,1130,9
2006,-172,-159,-204,-174,-229,-185,-170,1181,1380,-15
2006,-51,-47,-85,-70,-68,-66,-46,1196,1375,-11
2006,27,13,26,9,29,32,27,1423,1203,1
2006,63,48,41,40,20,52,58,1462,1211,11
2006,43,50,49,38,49,33,39,1102,1228,9
2006,-39,-33,-37,-10,-18,-15,-13,1231,1361,-5
2006,34,34,49,48,68,40,41,1233,1261,9
2006,52,51,73,69,65,48,47,1285,1305,7
2006,-56,-63,-57,-76,-96,-78,-67,1397,1457,-13
2006,-18,-7,-13,19,11,-4,-13,1393,1401,-7
2006,142,133,169,131,143,157,147,1125,1417,13
2006,29,33,47,46,73,38,34,1429,1449,7
2006,-35,-26,-31,-30,-30,-44,-37,1328,1454,-5
2006,25,26,26,17,16,29,27,1371,1455,3
2006,-10,-13,-5,-1,14,14,-6,1458,1112,1
2006,-28,-23,-26,-28,-43,-35,-30,1242,1133,-9
2006,-8,19,24,26,75,-5,15,1137,1116,1
2006,144,118,152,135,151,137,131,1107,1163,15
2006,-16,1,-9,-5,-57,-16,-22,1277,1206,-5
2006,-11,-9,-17,-7,-36,-13,2,1207,1320,-3
2006,-9,5,10,14,29,-5,-2,1412,1246,1
2006,-119,-106,-116,-121,-99,-115,-124,1272,1331,-15
2006,24,15,27,25,18,10,11,1143,1301,-3
2006,-49,-61,-83,-83,-107,-74,-55,1314,1293,-11
2006,-43,-72,-72,-60,-109,-50,-61,1234,1322,-11
2006,-107,-103,-117,-111,-114,-120,-110,1326,1172,-13
2006,39,39,55,51,51,51,45,1245,1338,7
2006,-95,-90,-93,-97,-114,-99,-85,1400,1335,-13
2006,162,161,174,191,184,155,168,1284,1437,15
2006,-22,-20,-24,-30,-32,-22,-1,1452,1356,-5
2006,58,53,83,71,100,54,49,1285,1130,8
2006,5,15,21,30,39,8,16,1203,1181,7
2006,57,50,60,63,49,65,48,1454,1196,8
2006,-20,-13,-7,-14,6,-32,-32,1211,1231,-3
2006,-24,-27,-27,-20,-2,-7,-19,1261,1401,-8
2006,-40,-47,-44,-59,-38,-51,-47,1417,1104,-8
2006,20,14,13,9,5,9,10,1449,1228,1
2006,13,12,18,24,32,8,8,1455,1397,5
2006,35,22,27,24,36,38,36,1133,1338,8
2006,-37,-35,-32,-28,-21,-36,-32,1163,1246,-7
2006,24,17,29,18,74,29,34,1206,1314,8
2006,-16,-13,-8,-8,-8,-14,-22,1326,1207,-5
2006,-14,-36,-38,-35,-81,-19,-39,1272,1137,-8
2006,-23,-32,-20,-19,-23,-24,-28,1400,1301,-8
2006,45,44,38,32,20,33,35,1112,1437,7
2006,-30,-61,-66,-56,-101,-41,-44,1452,1322,-8
2006,15,11,11,12,14,18,14,1261,1181,3
2006,-43,-28,-32,-25,-37,-47,-42,1272,1133,-12
2006,-16,-20,-17,-12,-16,-18,-21,1400,1452,-4
2006,-12,3,5,15,32,-5,-1,1211,1417,1
2006,-27,-21,-18,-18,-12,-18,-16,1163,1449,-4
2006,13,12,10,12,12,13,14,1207,1196,4
2006,9,-2,6,-11,21,18,23,1206,1455,4
2006,11,15,14,16,9,9,16,1130,1437,3
2006,8,8,8,7,12,13,7,1261,1400,2
2006,13,9,8,5,-3,6,3,1417,1272,1
2006,-7,-4,-3,-2,-2,-5,-11,1437,1196,-2
2006,-35,-23,-36,-26,-73,-41,-42,1163,1206,-10
2006,-27,-18,-32,-23,-67,-35,-32,1196,1206,-8
2006,1,2,1,-1,-10,-9,-8,1417,1261,-2
2006,7,7,7,7,-1,2,-6,1417,1196,-1
2007,-28,-52,-69,-87,-105,-70,-38,1310,1197,0
2007,-21,-22,-30,-26,-31,-11,-16,1130,1403,-3
2007,19,20,47,42,1,26,32,1330,1139,7
2007,-107,-99,-118,-126,-125,-121,-110,1207,1125,-13
2007,-11,-24,-18,-34,-11,-26,-19,1231,1211,-3
2007,-9,-31,-20,-38,-38,-34,-31,1257,1390,-5
2007,3,13,44,63,61,13,20,1172,1268,9
2007,-6,12,14,15,-6,-8,-8,1266,1277,-1
2007,-143,-163,-167,-187,-187,-159,-145,1314,1184,-15
2007,-161,-159,-191,-170,-145,-159,-153,1326,1148,-15
2007,67,68,78,85,72,73,69,1460,1338,11
2007,-85,-82,-101,-97,-99,-78,-77,1401,1335,-11
2007,-137,-145,-147,-176,-173,-133,-141,1417,1451,-13
2007,8,21,45,62,57,29,24,1433,1181,5
2007,21,14,17,31,33,18,19,1203,1435,5
2007,-83,-60,-73,-61,-84,-70,-79,1450,1331,-11
2007,-28,3,3,21,21,-13,-8,1140,1462,-1
2007,163,193,229,289,270,220,172,1238,1196,15
2007,146,148,158,167,141,134,137,1310,1242,15
2007,-9,-1,-2,-1,4,1,-4,1246,1437,-1
2007,-124,-132,-136,-176,-157,-149,-124,1272,1317,-13
2007,-17,2,1,31,36,-17,-9,1305,1166,-3
2007,98,82,84,72,76,90,99,1275,1332,11
2007,-31,-22,-20,1,-6,-13,-29,1112,1345,-1
2007,68,63,76,65,64,70,69,1221,1356,9
2007,53,62,67,92,61,58,58,1253,1397,7
2007,42,52,67,80,79,54,33,1308,1400,9
2007,26,7,-10,-38,-17,8,31,1210,1424,3
2007,24,1,5,-13,-20,3,15,1116,1425,7
2007,-45,-49,-85,-102,-87,-63,-61,1438,1107,-9
2007,1,7,20,-2,9,-1,-10,1228,1439,7
2007,10,-20,-23,-54,-68,6,-40,1323,1457,-5
2007,67,65,81,122,109,70,78,1394,1458,13
2007,-8,-24,-10,-16,-58,-18,-4,1268,1139,-1
2007,-30,-37,-26,-36,-33,-29,-26,1207,1130,-5
2007,29,26,21,12,32,29,26,1277,1314,8
2007,-52,-27,-39,-30,-16,-54,-32,1326,1462,-8
2007,-21,-23,-48,-60,-59,-34,-32,1338,1433,-8
2007,-21,-22,-24,-10,-4,-18,-11,1401,1257,-3
2007,33,23,22,12,19,20,35,1231,1417,5
2007,34,35,31,18,20,33,31,1435,1450,3
2007,43,34,29,19,35,33,37,1345,1196,8
2007,16,12,14,16,18,17,14,1246,1242,7
2007,-5,-13,-24,-54,-50,-13,-8,1272,1305,-5
2007,-3,-24,-22,-50,-69,2,-56,1332,1457,-8
2007,-32,-23,-8,9,-2,-26,-33,1356,1439,-1
2007,25,30,15,9,15,16,26,1438,1397,-1
2007,12,16,24,45,25,20,7,1424,1458,5
2007,-8,-19,-19,-27,-32,-27,-3,1400,1425,-1
2007,-3,-6,-13,-33,-27,-5,-3,1242,1356,-3
2007,9,1,2,-4,-2,5,4,1401,1272,1
2007,18,22,22,35,28,22,19,1397,1326,4
2007,8,6,4,4,4,3,5,1338,1417,1
2007,-21,-33,-18,-24,-63,-26,-16,1196,1139,-4
2007,-41,-49,-46,-45,-41,-42,-37,1207,1435,-4
2007,-24,-40,-34,-42,-43,-40,-27,1314,1425,-4
2007,-4,-9,-14,-31,-22,-8,1,1332,1424,-4
2007,6,6,5,5,1,5,8,1272,1326,1
2007,-3,1,2,6,9,3,-3,1417,1242,1
2007,-5,-11,-12,-18,-10,-9,-6,1196,1332,-2
2007,4,5,7,5,3,5,7,1207,1314,1
2007,2,-2,-3,-5,-8,-2,4,1196,1417,-1
2007,-7,-4,-6,-2,2,-7,-9,1326,1207,-1
2007,-4,-1,-1,1,3,-4,-5,1326,1196,0
2008,84,84,110,140,126,104,75,1164,1291,0
2008,80,87,129,154,154,108,84,1125,1181,13
2008,-99,-108,-116,-125,-114,-107,-103,1242,1340,-15
2008,-17,-24,-10,5,-3,-12,-21,1425,1243,-5
2008,42,49,46,49,26,44,34,1246,1266,5
2008,41,21,46,48,49,50,33,1396,1277,7
2008,-62,-48,-64,-66,-77,-72,-50,1323,1206,-7
2008,44,39,56,53,76,44,48,1331,1338,9
2008,7,9,9,14,18,13,15,1124,1345,5
2008,49,62,95,122,119,70,61,1165,1390,11
2008,2,6,-3,-28,-23,-4,-1,1401,1140,1
2008,-279,-275,-301,-316,-297,-287,-237,1417,1290,-15
2008,-15,-16,-4,13,-1,-5,-1,1245,1424,1
2008,98,91,95,98,106,90,97,1457,1450,9
2008,-12,-14,-9,1,-6,-8,-22,1452,1112,-3
2008,75,66,77,106,85,80,74,1168,1458,11
2008,83,101,80,63,35,70,88,1208,1462,11
2008,19,18,18,21,-5,27,18,1116,1231,1
2008,28,42,31,43,45,43,30,1375,1139,3
2008,-2,-7,1,5,-4,4,6,1172,1211,3
2008,-86,-99,-116,-137,-153,-93,-101,1207,1420,-13
2008,101,81,93,122,105,67,64,1129,1257,11
2008,142,159,164,183,196,159,149,1426,1272,15
2008,7,9,5,1,-15,1,-1,1274,1388,-3
2008,5,19,-5,3,4,-4,21,1332,1280,1
2008,169,169,177,164,159,183,173,1291,1314,15
2008,-21,-1,-18,-19,-12,-28,-21,1328,1386,-5
2008,79,100,92,96,84,85,84,1360,1163,9
2008,62,52,63,65,67,76,69,1373,1435,9
2008,121,120,148,145,154,134,124,1110,1397,13
2008,-110,-119,-143,-163,-128,-127,-115,1400,1122,-13
2008,21,37,36,38,24,26,28,1437,1155,7
2008,24,28,31,40,31,35,30,1443,1179,7
2008,34,40,43,52,60,33,20,1424,1242,7
2008,1,6,2,-9,4,-2,1,1277,1338,1
2008,-8,-4,-4,-2,-2,-12,-9,1390,1266,-3
2008,30,32,24,14,15,21,26,1401,1417,8
2008,4,9,11,16,6,5,-1,1323,1450,1
2008,21,16,14,17,12,20,20,1452,1181,5
2008,37,42,26,11,15,32,42,1243,1458,8
2008,17,21,18,7,3,9,15,1345,1462,3
2008,-16,-11,-18,-25,-22,-23,-29,1207,1172,-8
2008,-17,-24,-20,-27,-37,-9,-20,1257,1328,-3
2008,43,25,36,31,23,41,36,1280,1272,7
2008,-40,-39,-38,-35,-26,-43,-33,1314,1116,-8
2008,-6,-7,-17,-18,-31,-7,-6,1397,1139,-5
2008,28,30,27,40,40,26,26,1274,1400,5
2008,44,30,44,62,64,54,37,1373,1437,1
2008,-64,-82,-66,-53,-35,-59,-63,1443,1360,-1
2008,-10,-6,-6,5,1,-16,-9,1397,1257,-1
2008,-13,-14,-11,-6,-13,-12,-21,1314,1450,-3
2008,-31,-36,-43,-62,-61,-42,-38,1417,1443,-11
2008,-15,-10,-8,-5,4,-12,-14,1462,1452,-4
2008,-19,-12,-20,-29,-19,-26,-30,1458,1172,-7
2008,-38,-50,-51,-50,-34,-42,-42,1242,1437,-11
2008,15,19,14,14,14,12,16,1277,1272,4
2008,-4,-5,-1,-3,-5,-2,-5,1400,1390,-1
2008,14,11,12,4,7,20,12,1257,1314,2
2008,10,9,8,16,18,11,9,1462,1417,2
2008,-21,-16,-24,-32,-26,-29,-32,1242,1172,-9
2008,-6,-5,-5,-4,-4,-6,-7,1272,1400,-1
2008,3,2,1,-4,-1,2,4,1242,1314,0
2008,-1,2,1,1,-1,-2,-1,1272,1417,0
2008,-2,1,2,2,2,-1,-3,1272,1242,0
2009,-39,-11,-23,-28,-62,-19,18,1287,1106,0
2009,-182,-171,-205,-210,-171,-197,-177,1163,1151,-15
2009,106,110,154,155,162,110,98,1127,1181,13
2009,-98,-82,-93,-86,-83,-94,-90,1211,1103,-9
2009,-13,-10,-7,-3,20,7,-9,1139,1261,1
2009,14,12,16,25,-5,15,10,1268,1143,3
2009,139,141,116,103,124,146,145,1169,1272,13
2009,-13,-26,-16,-27,-25,-17,-22,1155,1276,-3
2009,126,106,163,168,160,146,135,1347,1314,15
2009,125,111,135,122,162,154,128,1288,1328,13
2009,52,54,71,68,62,50,40,1320,1345,7
2009,-5,7,3,17,25,1,-7,1278,1400,3
2009,9,17,23,34,9,9,6,1401,1140,1
2009,-43,-37,-59,-46,-54,-63,-51,1417,1433,-5
2009,-72,-81,-96,-90,-94,-79,-81,1437,1110,-11
2009,-53,-57,-66,-76,-66,-62,-50,1228,1443,-7
2009,-47,-43,-52,-44,-13,-61,-43,1449,1280,-9
2009,19,21,17,14,-5,10,31,1112,1428,7
2009,-17,-10,-32,-35,-36,-42,-26,1113,1396,-5
2009,49,46,55,47,58,50,53,1156,1448,9
2009,15,38,50,75,78,21,8,1173,1452,5
2009,-58,-54,-64,-60,-76,-49,-75,1242,1295,-11
2009,-167,-158,-182,-163,-169,-171,-181,1257,1287,-15
2009,-2,-16,-19,-36,-75,-7,-1,1266,1429,-5
2009,-116,-116,-130,-109,-111,-123,-111,1277,1352,-13
2009,-116,-106,-108,-90,-86,-112,-114,1281,1165,-11
2009,-18,-5,-6,1,7,-8,-7,1329,1397,-1
2009,-120,-98,-131,-107,-130,-130,-127,1338,1190,-15
2009,17,6,33,29,27,19,8,1373,1326,1
2009,-73,-68,-82,-78,-131,-78,-82,1393,1372,-11
2009,6,-14,-13,-32,-24,-8,-4,1425,1130,3
2009,-26,-13,-4,5,-2,-31,-28,1199,1458,-7
2009,80,109,78,93,139,83,94,1340,1462,9
2009,-36,-40,-43,-49,-37,-33,-31,1163,1401,-8
2009,31,25,25,21,24,28,35,1400,1181,5
2009,-57,-68,-79,-94,-84,-69,-47,1211,1443,-8
2009,-40,-39,-38,-53,-37,-40,-40,1272,1268,-8
2009,30,35,39,44,35,22,28,1261,1314,7
2009,-24,-38,-26,-32,-27,-33,-37,1328,1276,-8
2009,-9,-2,-7,-2,1,9,2,1345,1449,1
2009,-17,-4,-1,10,3,-8,-9,1437,1417,-3
2009,-6,-5,-24,-29,-39,-19,-13,1112,1156,-1
2009,20,41,49,72,75,25,23,1173,1242,8
2009,33,28,53,61,61,39,28,1373,1257,8
2009,-41,-31,-27,-14,-6,-28,-33,1277,1425,-8
2009,12,13,12,10,3,9,17,1266,1281,3
2009,-27,-24,-28,-27,-24,-29,-31,1338,1329,-7
2009,-15,-9,-7,3,-7,-5,-12,1393,1113,-3
2009,-22,-16,-7,-6,1,-26,-24,1462,1458,-8
2009,14,14,8,11,12,22,12,1345,1163,4
2009,-6,-7,-4,-9,-9,-8,-4,1272,1281,-1
2009,-16,-16,-22,-18,-22,-20,-18,1338,1462,-3
2009,-5,-8,-12,-12,-7,-5,-6,1181,1437,-1
2009,47,44,38,35,37,36,48,1112,1257,11
2009,9,5,8,-2,-7,8,4,1242,1277,1
2009,10,9,7,3,7,12,18,1211,1314,3
2009,4,6,4,-2,-13,1,4,1393,1328,1
2009,10,9,7,7,7,9,6,1281,1163,2
2009,-7,-10,-14,-13,-9,-8,-8,1338,1437,-2
2009,-1,-1,-2,-9,-17,-1,-2,1257,1277,-1
2009,5,7,8,15,18,7,6,1328,1314,1
2009,6,5,4,10,13,4,3,1277,1163,1
2009,-6,-12,-15,-17,-11,-9,-7,1314,1437,-2
2009,-4,-6,-6,-11,-16,-6,-5,1314,1277,-1
2010,49,28,29,26,70,29,37,1115,1457,0
2010,78,65,98,90,101,85,76,1358,1124,11
2010,-19,-22,-11,-8,-14,-23,-20,1139,1431,-7
2010,-39,-43,-39,-42,-26,-42,-37,1140,1196,-3
2010,-186,-170,-203,-178,-148,-186,-165,1242,1250,-15
2010,103,127,148,160,149,114,104,1317,1243,13
2010,-149,-148,-152,-136,-180,-161,-159,1246,1190,-15
2010,20,19,34,21,46,24,40,1293,1435,9
2010,90,81,79,58,76,97,91,1285,1307,11
2010,21,24,13,5,2,17,18,1424,1320,-1
2010,-105,-82,-101,-89,-94,-110,-94,1207,1325,-11
2010,-1,3,-4,5,-26,1,-6,1323,1330,-5
2010,5,3,-11,-5,-4,1,2,1388,1350,3
2010,-12,-10,-19,-5,-21,-23,-16,1397,1361,-5
2010,153,156,181,173,142,149,138,1352,1437,13
2010,23,26,32,33,28,18,22,1448,1400,1
2010,21,18,18,1,-20,10,-6,1449,1266,5
2010,3,16,8,25,18,14,8,1257,1143,1
2010,14,39,36,48,35,24,42,1165,1396,7
2010,217,208,237,237,267,231,210,1115,1181,15
2010,14,-4,-4,-17,-6,2,12,1210,1329,3
2010,-9,6,9,37,35,4,-10,1211,1199,-1
2010,99,92,85,75,64,83,96,1222,1268,9
2010,-34,-52,-73,-91,-81,-54,-49,1277,1308,-7
2010,-5,3,-7,5,6,5,3,1281,1155,3
2010,80,99,114,148,153,104,79,1364,1326,13
2010,42,53,83,111,97,53,58,1324,1338,11
2010,24,27,43,45,48,39,35,1373,1345,9
2010,109,109,142,124,109,125,125,1436,1393,15
